Read 218 positive samples into dataset
Read 60 negative samples into dataset
Loss for epoch 460 is 3.5405348166823387
Loss for epoch 461 is 3.5292425602674484
Loss for epoch 462 is 3.518445461988449
Loss for epoch 463 is 3.5052314773201942
Loss for epoch 464 is 3.4940844923257828
Loss for epoch 465 is 3.4827597960829735
Loss for epoch 466 is 3.47122560441494
Loss for epoch 467 is 3.460515148937702
Loss for epoch 468 is 3.4494122564792633
Loss for epoch 469 is 3.436111517250538
Loss for epoch 470 is 3.4269467145204544
Loss for epoch 471 is 3.4147519916296005
Loss for epoch 472 is 3.4035536497831345
Loss for epoch 473 is 3.3935832157731056
Loss for epoch 474 is 3.3819126710295677
Loss for epoch 475 is 3.3703524097800255
Loss for epoch 476 is 3.3597049713134766
Loss for epoch 477 is 3.348737508058548
Loss for epoch 478 is 3.3379723355174065
Loss for epoch 479 is 3.326635841280222
Loss for epoch 480 is 3.3158657029271126
Loss for epoch 481 is 3.3048746548593044
Loss for epoch 482 is 3.2954096980392933
Loss for epoch 483 is 3.2830797396600246
Loss for epoch 484 is 3.2727893702685833
Loss for epoch 485 is 3.2622788175940514
Loss for epoch 486 is 3.2514840736985207
Loss for epoch 487 is 3.240841470658779
Loss for epoch 488 is 3.2317941561341286
Loss for epoch 489 is 3.219723753631115
Loss for epoch 490 is 3.20892483741045
Loss for epoch 491 is 3.1995709240436554
Loss for epoch 492 is 3.1896279715001583
Loss for epoch 493 is 3.1785789281129837
Loss for epoch 494 is 3.1684764996170998
Loss for epoch 495 is 3.1585423573851585
Loss for epoch 496 is 3.148933596909046
Loss for epoch 497 is 3.138091739267111
Loss for epoch 498 is 3.12854815274477
Loss for epoch 499 is 3.1190927661955357
Loss for epoch 500 is 3.109075151383877
